Site,longitude,latitude,B data max,B 100-year,E data max,E 100-year
IDJ15,-112.432,43.4197,1105.932557225748,1181.9878177321473,0.3744717379765678,0.2915315309961401
IDJ16,-111.557,43.3319,1116.1874959837564,1182.3252050961812,0.10816233080516491,0.13186178269217025
IDK10,-116.868886,42.774796,871.3243936001627,1038.5419254684189,0.03380588073637034,0.03701240275798792
IDK11,-115.868019,42.7323,916.4343279311938,1020.6186889912588,0.25478110946684707,0.26845771464822926
IDK12,-114.913,42.6155,944.8076805962581,1048.9631199966084,0.2939370727023311,0.30361807248212924
IDK13,-114.065,42.674575,985.2943237510738,1074.7864545028913,0.2887097611439915,0.31804886517289166
IDK14,-113.243,42.5686,1002.554106183572,1064.3907737374677,0.049711184077917796,0.0583363991741966
IDK15,-112.38,42.717856,1044.3525957988445,1091.2073911132122,0.018202938032175084,0.020727584979419934
IDK16,-111.425,42.6996,1067.2372605665992,1085.2847482699904,0.10854320753350956,0.12335081185314667
IDL10,-116.47711,42.079195,806.7482175953462,931.6849462529289,0.2582813717566343,0.3043449958438825
IDL11,-115.750099,42.152859,853.3683360870773,936.6936504519165,0.2587639362140441,0.29215501418824774
IDL12,-115.056,42.0784,878.1910907030198,957.4243155340172,0.2099323839509935,0.21103331533920738
IDL14,-113.192,42.0407,951.0181227610567,1008.3231523341676,0.019578685773993063,0.024265661362965797
IDL15,-112.41495,42.0165,976.1526022263771,994.6704811235647,0.12350716030040927,0.11818310069718013
IDL16,-111.434991,42.078025,1013.0277796581073,1008.0957628682505,0.6030237653811464,0.48725639606235116
ILK43,-88.3373,42.431257,1159.4604239322614,1584.7039757775283,1.163977586074482,1.5110989193534117
ILL42,-89.48629,41.890659,1068.2627010200326,1404.5861954208128,1.518020244766854,1.6316819337371187
ILL43,-88.39322,41.836532,1076.0722248597053,1418.5822838176734,0.7994298554450745,1.0337681320168057
ILM41,-90.546707,41.309693,989.8256158937023,1297.1614529001597,0.8143005101209085,0.9573236873443347
ILM42,-89.720572,41.282279,988.4168215700191,1288.6694600894455,0.5825719269217664,0.6781717913571645
ILM43,-88.744317,41.206753,992.8178370448921,1288.3695771977616,0.7175368767113998,0.929453990780063
ILM44,-87.891214,41.145911,1010.4171849993512,1277.6090793954907,0.9581391473244474,1.204298722358689
ILN41,-90.593905,40.753911,984.9580214972391,1211.4628943047596,1.088294341189193,1.3231739184260474
ILN42,-89.872797,40.651953,982.7774906619279,1204.5048649691273,0.5014903768700077,0.6264943027609422
